model,chain,step,phase,loss,base_checkpoint_loss,delta_from_checkpoint,delta_norm_pct
ravel,1,50,burn,1.5626153200864792,1.5622173845767975,0.00039793550968170166,0.6479679573486825
ravel,1,60,burn,1.5627121925354004,1.5622173845767975,0.0004948079586029053,0.7096106198659499
ravel,1,70,burn,1.5629407316446304,1.5622173845767975,0.0007233470678329468,0.7663366627260821
ravel,1,80,burn,1.5626490265130997,1.5622173845767975,0.00043164193630218506,0.8204098102768319
ravel,1,90,burn,1.5629289150238037,1.5622173845767975,0.0007115304470062256,0.8684166490478126
ravel,1,100,burn,1.5627738982439041,1.5622173845767975,0.0005565136671066284,0.9164588314147406
ravel,1,110,sample,1.5627139806747437,1.5622173845767975,0.000496596097946167,0.9612343263790809
ravel,1,120,sample,1.562742531299591,1.5622173845767975,0.0005251467227935791,1.0044435065333477
ravel,1,130,sample,1.5625022649765015,1.5622173845767975,0.0002848803997039795,1.0452880522859183
ravel,1,140,sample,1.5626223981380463,1.5622173845767975,0.0004050135612487793,1.084205674274358
ravel,1,150,sample,1.5626242905855179,1.5622173845767975,0.00040690600872039795,1.1212077332628645
ravel,1,160,sample,1.5626577734947205,1.5622173845767975,0.00044038891792297363,1.15775684781083
ravel,1,170,sample,1.5631286054849625,1.5622173845767975,0.000911220908164978,1.1940266852159287
ravel,1,180,sample,1.5630344301462173,1.5622173845767975,0.0008170455694198608,1.2284047766985386
ravel,1,190,sample,1.5631191283464432,1.5622173845767975,0.0009017437696456909,1.262301977598427
ravel,1,200,sample,1.5628506541252136,1.5622173845767975,0.0006332695484161377,1.294633483549927
ravel,1,210,sample,1.5629044771194458,1.5622173845767975,0.0006870925426483154,1.3266516077872088
ravel,1,220,sample,1.5633244663476944,1.5622173845767975,0.0011070817708969116,1.3567034673901561
ravel,1,230,sample,1.5632847845554352,1.5622173845767975,0.0010673999786376953,1.3873795941289595
ravel,1,240,sample,1.5631316006183624,1.5622173845767975,0.0009142160415649414,1.4177844541411375
ravel,1,250,sample,1.5625984519720078,1.5622173845767975,0.0003810673952102661,1.447577659397139
ravel,1,260,sample,1.562441647052765,1.5622173845767975,0.00022426247596740723,1.4755516685935788
ravel,2,10,burn,1.5623971074819565,1.5622173845767975,0.00017972290515899658,0.2898879118199384
ravel,2,20,burn,1.562590092420578,1.5622173845767975,0.0003727078437805176,0.4108529716833632
ravel,2,30,burn,1.5627523064613342,1.5622173845767975,0.0005349218845367432,0.5035127115616364
ravel,2,40,burn,1.5626024007797241,1.5622173845767975,0.00038501620292663574,0.5814001573740128
ravel,2,50,burn,1.5630085468292236,1.5622173845767975,0.0007911622524261475,0.6494675988822937
ravel,2,60,burn,1.5634141564369202,1.5622173845767975,0.0011967718601226807,0.7108016234774953
ravel,2,70,burn,1.5630505830049515,1.5622173845767975,0.0008331984281539917,0.7672810171362624
ravel,2,80,burn,1.5630589425563812,1.5622173845767975,0.0008415579795837402,0.821184957462337
ravel,2,90,burn,1.5634657144546509,1.5622173845767975,0.0012483298778533936,0.8712761384420785
ravel,2,100,burn,1.5637346655130386,1.5622173845767975,0.00151728093624115,0.9184785811699469
ravel,2,110,sample,1.5636215060949326,1.5622173845767975,0.0014041215181350708,0.9634181603173644
ravel,2,120,sample,1.5639657080173492,1.5622173845767975,0.0017483234405517578,1.0057985557670912
ravel,2,130,sample,1.5638628154993057,1.5622173845767975,0.0016454309225082397,1.046736162495882
ravel,2,140,sample,1.5639433562755585,1.5622173845767975,0.0017259716987609863,1.0866683831820603
